,0,1
137,испорченный,137
138,нежный,138
139,любопытный,139
140,гений,140
141,рассеянный,141
142,непослушный,142
143,наивный,143
144,острый,144
145,вежливый,145
146,отличный,146
147,смелость,147
148,правша,148
149,разумный,149
150,ленивый,150
151,детский,151
152,ребяческий,152
153,стойкость,153
154,уверенный,154
155,обычный,155
156,миленький,156
157,остроумие,157
158,послушный,158
159,невиновный,159
160,опытный,160
161,инициатива,161
162,тщеславный,162
163,доминантный,163
164,наблюдательность,164
165,сильный,165
166,вредный; озорной,166
167,неловкий; неуклюжий,167
168,верный,168
169,особенный,169
170,мятежный,170
171,жестокий,171
172,зрелищный,172
173,строгий,173
174,злобный,174
175,нерадивый,175
176,логичный,176
177,торжественный,177
178,враждебный,178
179,получающий удовольствие,179
180,потрясающий,180
181,доминирующий,181
182,жадный,182
183,угрюмый,183
184,трус,184
185,жёсткий,185
186,подлинный,186
187,милосердный,187
188,модный,188
189,осторожный,189
190,неудобно,190
191,недобрый,191
192,красивый,192
193,жадность,193
194,высокомерный,194
195,приличный,195
196,искренний,196
197,аккуратный,197
198,лицемерный,198
199,положительный,199
200,грубый,200
201,ответственный,201
202,отвратительный,202
203,странный,203
204,глупый,204
205,адаптивное поведение,205
206,отрицательный,206
207,оживленный,207
208,адаптивность,208
209,объективный,209
210,агрессивный,210
211,предусмотрительный,211
212,недовольный,212
213,мудрый,213
214,причинять резкую боль,214
215,талант,215
216,мужественность,216
217,неприятный,217
218,смешной,218
219,запасливый,219
220,милый,220
221,трусливо,221
222,образованный,222
223,веселый,223
224,дружелюбный,224
225,нахальный,225
226,личные качества,226
227,беспокоящий,227
228,наглость,228
229,зло,229
230,продуманный,230
231,активный,231
232,брюзжать,232
233,скромный,233
234,оранжевый,234
235,основной цвет,235
236,бледный,236
237,тёмный,237
238,серебро,238
239,нераскрашенный,239
240,розовый,240
241,цветовой оттенок,241
242,прозрачный,242
243,оттенок,243
244,коричневый,244
245,бежевый,245
246,непрозрачность,246
247,цвет,247
248,красноватый,248
249,фиолетовый,249
250,желтый,250
251,темнота,251
252,красный,252
253,золотой,253
254,черный,254
255,розовато-лиловый,255
256,серый,256
257,синий,257
258,зелёный,258
259,белый,259
260,грустный,260
261,подавленный,261
262,ошеломить,262
263,нервный,263
264,напряжение,264
265,преданный,265
266,мурашки,266
267,облегчение,267
268,ожидать,268
269,зависть,269
270,жажда,270
271,слабый,271
272,отношение,272
273,отчаяться,273
274,печаль,274
275,озабоченный,275
276,страх,276
277,испуганный,277
278,напуганный,278
279,разрыдаться,279
280,злость,280
281,отвращение,281
282,сочувствие,282
283,неудобство,283
284,самопроверка,284
285,быть потрясенным,285
286,доверять,286
287,скорбеть,287
288,смущенный,288
289,желать,289
290,вскружить,290
291,самоанализ,291
292,желание,292
293,импульс,293
294,презрение,294
295,разъяренный,295
296,самовосприятие,296
297,беспокоиться,297
298,возрадоваться,298
299,подозревать,299
300,терпеть,300
301,влюбиться,301
302,восхищаться,302
303,нравиться,303
304,злой,304
305,расстроенный,305
306,расслабление,306
307,жуткий,307
308,не выносить,308
309,спокойный,309
310,гнев,310
311,сарказм,311
312,отважиться,312
313,сожалеть,313
314,ленность,314
315,расслабиться,315
316,интересный,316
317,самоосознание,317
318,весенняя,318
319,ненавидеть,319
320,доброта,320
321,отчаянный,321
322,сомнение,322
323,страшный,323
324,покаяние,324
325,испытывать,325
326,счастливый,326
327,испуг,327
328,предпочитать,328
329,дистресс,329
330,возбуждение,330
331,несчастье,331
332,довольный,332
333,благодарность,333
334,голод,334
335,изношенный,335
336,счастье,336
337,радость,337
338,страдать,338
339,мотивировать,339
340,вдохновлять,340
341,непреклонный,341
342,рассердиться,342
343,жалость,343
344,безумно,344
345,безразличие,345
346,доставлять удовольствие,346
347,изможденный,347
348,добропорядочность,348
349,любовный,349
350,позор,350
351,забота,351
352,горе,352
353,влюбленный,353
354,рыдать,354
355,вздрагивать,355
356,самоконтроль,356
357,ошарашенный,357
358,неверие,358
359,одержимый,359
360,вдохновение,360
361,самообман,361
362,наслаждайся,362
363,возбужденный,363
364,любить,364
365,терпение,365
366,обнимать,366
367,горький,367
368,презирать,368
369,беспокойство,369
370,расстройство,370
371,надоело,371
372,слабость,372
373,покраснеть,373
374,голодный,374
375,разгневанный,375
376,ревнивый,376
377,раздражать,377
378,смириться,378
379,обманчивость,379
380,самомнение,380
381,жаждущий,381
382,возбуждать,382
383,надеяться,383
384,беспокойный,384
385,мотивация,385
386,пренебрежение,386
387,благоговение,387
388,суматоха,388
389,горевать,389
390,неуважение,390
391,сомневаться,391
392,нравственность,392
393,горюющий,393
394,надежда,394
395,одинокий,395
396,довольство,396
397,агрессия,397
398,страдание,398
399,благополучие,399
400,любовь,400
401,боль,401
402,скучающий,402
403,домогаться,403
404,разочарованный,404
405,дрожать,405
406,так себе,406
407,стыдно,407
408,вина,408
409,весёлый,409
410,страсть,410
411,радостный,411
412,объятие,412
413,сожаление,413
414,обеспокоенный,414
415,рвеность,415
416,гордость,416
417,внутреннее,417
418,одновременность,418
419,восхищение,419
420,поднос,420
421,кафе,421
422,лить,422
423,откупоривать,423
424,есть,424
425,закуска перед едой,425
426,кормить,426
427,окунать,427
428,бутылка,428
429,жевать,429
430,вкусный,430
431,жадно есть,431
432,переваривать,432
433,MakDonalds,433
434,предложить тост,434
435,аллергия на еду,435
436,откусывание,436
437,ланч,437
438,помощник повара,438
439,кубок,439
440,плата за вход,440
441,резервирование; бронирование,441
442,аппетит,442
443,кафетерий,443
444,"нежный, мягкий",444
445,пир,445
446,прием пищи,446
447,обедать,447
448,кусок; тонкими слоями,448
449,пить,449
450,кружка,450
451,кусать,451
452,вилка,452
453,делать мелкий глоток,453
454,ароматный,454
455,банкет,455
456,заварочный чайник,456
457,глотать,457
458,кувшин,458
459,ресторан,459
460,переваривание,460
461,глотать жадно,461
462,официант,462
463,заказывать,463
464,женский туалет,464
465,повар,465
466,мужской туалет,466
467,накрывать на стол,467
468,вкус,468
469,место для пикника,469
470,диета,470
471,питьевая вода,471
472,Прощание,472
473,С днем рождения,473
474,Пока,474
475,Позвонить на сервис,475
476,Привет!,476
477,Добро пожаловать!,477
478,слово,478
479,пока (что),479
480,верить,480
481,иначе,481
482,искать,482
483,чемодан,483
484,слышать,484
485,вред,485
486,десять,486
487,почва,487
488,сто,488
489,достаточно,489
490,пустой,490
491,охотно,491
492,значить,492
493,собирать,493
494,такой,494
495,между,495
496,карандаш,496
497,маленький,497
498,готовый,498
499,восемь,499
500,сказать,500
501,восток,501
502,иностранный,502
503,платить,503
504,дочь,504
505,неделя,505
506,семнадцать,506
507,не,507
508,двенадцатый,508
509,писать,509
510,целый,510
511,часы,511
512,конечно,512
513,звук,513
514,использовать,514
515,быстрый,515
516,семья,516
517,четверг,517
518,мужчина,518
519,потом,519
520,длинный,520
521,отец,521
522,ручка,522
523,оба,523
524,там,524
525,тоже,525
526,часть,526
527,десятый,527
528,дом,528
529,новости,529
530,лежать,530
531,еще,531
532,медленный,532
533,семь,533
534,возможный,534
535,женщина,535
536,рот,536
537,муж,537
538,жёлтый,538
539,среда,539
540,хорошо,540
541,налог,541
542,смеяться,542
543,магазин,543
544,другой,544
545,путешествовать,545
546,причина,546
547,дешёвый,547
548,книга,548
549,еда,549
550,шесть,550
551,направление,551
552,идти,552
553,комната,553
554,вчера,554
555,один,555
556,срочный,556
557,известный,557
558,двенадцать,558
559,низкий,559
560,пятый,560
561,везде,561
562,мы,562
563,двадцать,563
564,ноль,564
565,должен,565
566,почему,566
567,девочка,567
568,мир,568
569,буду,569
570,пятьдесят,570
571,смотреть,571
572,месяц,572
573,короткий,573
574,необходимый,574
575,с,575
576,если,576
577,полный,577
578,важный,578
579,без,579
580,человек,580
581,немного,581
582,завтра,582
583,большой,583
584,всегда,584
585,молодой,585
586,вниз,586
587,стоять,587
588,сестра,588
589,ночь,589
590,билет,590
591,плакать,591
592,имя,592
593,или,593
594,свободный,594
595,мальчик,595
596,говорить,596
597,утро,597
598,лето,598
599,погода,599
600,путешествие,600
601,обучать,601
602,пять,602
603,сумка,603
604,ребёнок,604
605,север,605
606,час,606
607,очень,607
608,место,608
609,все,609
610,ужасный,610
611,держать,611
612,одежда,612
613,точно,613
614,опасный,614
615,седьмой,615
616,много,616
617,второй,617
618,различный,618
619,тридцать,619
620,трудный,620
621,два,621
622,лучший,622
623,одиннадцатый,623
624,девятый,624
625,быстро,625
626,люди,626
627,чувствовать,627
628,письмо,628
629,мочь,629
630,друг,630
631,назад,631
632,шестьдесят,632
633,улица,633
634,уже,634
635,правый,635
636,сердце,636
637,дорога,637
638,высокий,638
639,слушать,639
640,кроме,640
641,цена,641
642,восьмой,642
643,народ,643
644,твердый,644
645,мне,645
646,тебе,646
647,мертвый,647
648,твой,648
649,сын,649
650,девяносто,650
651,хлеб,651
652,четвертый,652
653,сегодня,653
654,брат,654
655,наконец,655
656,постепенно,656
657,рука,657
658,весна,658
659,хороший,659
660,тот,660
661,шум,661
662,вода,662
663,следующий,663
664,шестнадцать,664
665,безопасный,665
666,несколько,666
667,тысяча,667
668,нас,668
669,только,669
670,воздух,670
671,одиннадцать,671
672,восемьдесят,672
673,последний,673
674,картина,674
675,газета,675
676,сторона,676
677,способ,677
678,переводить,678
679,ждать,679
680,особенно,680
681,довольно,681
682,бумага,682
683,вероятно,683
684,шестой,684
685,обычно,685
686,пятница,686
687,под,687
688,тот же самый (одинаковый),688
689,посылать,689
690,четырнадцать,690
691,с тех пор как,691
692,вещь,692
693,понять,693
694,девятнадцать,694
695,читать,695
696,невозможный,696
697,юг,697
698,делать,698
699,перед,699
700,возможно,700
701,понедельник,701
702,жизнь,702
703,голос,703
704,грязный,704
705,опять,705
706,чистый,706
707,три,707
708,вопрос,708
709,ничего,709
710,город,710
711,ты,711
712,часто,712
713,против,713
714,их,714
715,вечер,715
716,ошибка,716
717,прибывать,717
718,я,718
719,это,719
720,осень,720
721,наш,721
722,школа,722
723,вторник,723
724,здесь,724
725,веселиться,725
726,глаз,726
727,ключ,727
728,сзади,728
729,старый,729
730,первый,730
731,дорогой,731
732,солнце,732
733,что,733
734,когда,734
735,мой,735
736,плохой,736
737,четыре,737
738,язык,738
739,левый,739
740,третий,740
741,лучше,741
742,видеть,742
743,скоро,743
744,деньги,744
745,жена,745
746,сверху,746
747,худший,747
748,суббота,748
749,никогда,749
750,воскресенье,750
751,год,751
752,новый,752
753,зима,753
754,никто,754
755,время,755
756,работать,756
757,восемнадцать,757
758,иногда,758
759,однажды,759
760,кто?,760
761,до,761
762,пятнадцать,762
763,после,763
764,семьдесят,764
765,минута,765
766,Плохо,766
767,Даже,767
768,Забрать,768
769,Лицо,769
770,Память,770
771,Лопата,771
772,Смех,772
773,Футбол,773
774,Выручить,774
775,Соль,775
776,Чашка,776
777,Подробно,777
778,Корона,778
779,Рубль,779
780,Крест,780
781,Цемент,781
782,Выигрыш,782
783,Золото,783
784,Жарить,784
785,Пылесос,785
786,Почки,786
787,Свисток,787
788,Чужой,788
789,Религия,789
790,Сразу,790
791,Обладать,791
792,Борода,792
793,Витамин,793
794,Раб,794
795,остановить,795
796,из-за,796
797,чудесный,797
798,боюсь,798
799,закончить,799
800,им,800
801,эти,801
802,ваш,802
803,который,803
804,немедленно,804
805,нога,805
806,ранний,806
807,следовало,807
808,остановиться,808
809,поздний,809
810,этот,810
811,значит,811
812,верх,812
813,одолжить,813
814,получить,814
815,проверить,815
816,замужем,816
817,нуждаться,817
818,открыть,818
819,подруга,819
820,остаться,820
821,ясный,821
822,минимум,822
823,тогда,823
824,над,824
825,ей,825
826,близко,826
827,сюрприз,827
828,изучить,828
829,предложить,829
830,терять,830
831,теперь,831
832,прекрасный,832
833,около,833
834,что-нибудь,834
835,взять,835
836,нам,836
837,дать,837
838,положить,838
839,оставить,839
840,сколько,840
841,вас,841
842,жаркий,842
843,уронить,843
844,слишком,844
845,вы,845
846,позволить,846
847,привезти,847
848,петь,848
849,вам,849
850,наверху,850
851,наружу,851
852,ехать,852
853,те,853
854,от,854
855,прийти,855
856,закрыть,856
857,её,857
858,всё,858
859,женат,859
860,бы,860
861,показать,861
862,весь,862
863,сорок,863
864,восемьсот,864
865,пять тысяч,865
866,три тысячи,866
867,пятьсот,867
868,двести,868
869,четыреста,869
870,семьсот,870
871,тринадцать,871
872,девять,872
873,девятьсот,873
874,четыре тысячи,874
875,две тысячи,875
876,триста,876
877,миллион,877
878,время от 0 ночи до 12 дня,878
879,вспомнить,879
880,бояться,880
881,мыть,881
882,свет,882
883,найти,883
884,обеспокоен,884
885,запад,885
886,сердитый,886
887,жить,887
888,шутить,888
889,думать,889
890,великий,890
891,сухой,891
892,спросить,892
893,спать,893
894,сначала,894
895,хотеть,895
896,знать,896
897,цвета,897
898,продолжить,898
899,холодный,899
900,да,900
901,мать,901
902,доволен,902
903,легкий,903
904,привык,904
905,быть,905
906,удивлён,906
907,внизу,907
908,рад,908
909,болит,909
910,согласно,910
911,купить,911
912,играть,912
913,изменить,913
914,ответить,914
915,начать,915
916,сквозь,916
917,больше,917
918,упасть,918
919,вверх,919
920,приятный,920
921,тёплый,921
922,уверен,922
923,лечь,923
924,забыть,924
925,меня,925
926,принести,926
927,тебя,927
928,встретить,928
929,тяжёлый,929
930,обещать,930
931,день,931
932,кусок,932
933,помочь,933
934,продать,934
935,иметь,935
936,назначенное время,936
937,октябрь,937
938,редко,938
939,постоянный,939
940,задерживать,940
941,канун,941
942,затем; потом,942
943,ожидающий,943
944,запоздалый,944
945,6 часов,945
946,поздно,946
947,недавний,947
948,в спешке,948
949,распределять,949
950,продлевать,950
951,расписание,951
952,откладывать,952
953,немедленный,953
954,время по Гринвичу,954
955,день и ночь,955
956,между тем,956
957,ноябрь,957
958,ранее,958
959,продолжительность,959
960,ежедневный,960
961,будущее,961
962,днем,962
963,по часам,963
964,две недели,964
965,начинать,965
966,вечный,966
967,затягивать,967
968,выходные,968
969,бывший,969
970,наконец-то,970
971,временный,971
972,восход солнца,972
973,время для измерений,973
974,в настоящее время,974
975,в этом году,975
976,краткий,976
977,декабрь,977
978,календарь,978
979,7:45,979
980,еще нет,980
981,рано,981
982,август,982
983,в прошлом году,983
984,отложить,984
985,2 часа,985
986,вечность,986
987,дважды,987
988,занятый,988
989,начало,989
990,отложенный,990
991,мгновение,991
992,неожиданный,992
993,предыдущий,993
994,в восемь пятнадцать,994
995,продление,995
996,башенные часы,996
997,в то время как,997
998,время 11 часов,998
999,навсегда,999
1000,no_event,1000
